"Etta James - At Last.mp3";At Last;Etta James;f
"Jonny Lang - Lie to Me.mp3";Lie to Me;Jonny Lang;m
"Canned Heat - Goin' Up the Country.mp3";Goin' Up the Country;Canned Heat;m+
"Joe Bonamassa - Get Back My Tomorrow (Live).mp3";Get Back My Tomorrow (Live);Joe Bonamassa;m
"The Blues Brothers - Soul Man.mp3";Soul Man;The Blues Brothers;m+
"Dorothy Moore - Misty Blue.mp3";Misty Blue;Dorothy Moore;f
"Jonny Lang - Make It Move.mp3";Make It Move;Jonny Lang;m
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;f
"Canned Heat - On the Road Again.mp3";On the Road Again;Canned Heat;m+
"B.B. King - The Thrill Is Gone (1969 Single Version).mp3";The Thrill Is Gone (1969 Single Version);B.B. King;m
"Joe Bonamassa, Beth Hart - I'd Rather Go Blind.mp3";I'd Rather Go Blind;Joe Bonamassa, Beth Hart;M+F
"Van Morrison - Bring It On Home To Me.mp3";Bring It On Home To Me;Van Morrison;m
"Joe Bonamassa - Drive.mp3";Drive;Joe Bonamassa;m
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;m+
"Walter Trout - We're All In This Together (feat. Joe Bonamassa).mp3";We're All In This Together (feat. Joe Bonamassa);Walter Trout;m
"Mindi Abair, the Boneshakers - Pretty Good for a Girl (feat. Joe Bonamassa).mp3";Pretty Good for a Girl (feat. Joe Bonamassa);Mindi Abair, the Boneshakers;M+F
"King Floyd - Groove Me.mp3";Groove Me;King Floyd;m
"John Lee Hooker - Boom Boom.mp3";Boom Boom;John Lee Hooker;m
"Aaron Neville - Tell It Like It Is.mp3";Tell It Like It Is;Aaron Neville;m
"Etta James - Stormy Weather.mp3";Stormy Weather;Etta James;f
"Etta James - At Last (Single Version).mp3";At Last (Single Version);Etta James;f
"Canned Heat - Let's Work Together.mp3";Let's Work Together;Canned Heat;m+
"Joe Bonamassa, Beth Hart - I'll Take Care of You.mp3";I'll Take Care of You;Joe Bonamassa, Beth Hart;M+F
"Mitch King - Coming Back.mp3";Coming Back;Mitch King;m
"R.L. Burnside - Someday Baby.mp3";Someday Baby;R.L. Burnside;m
"Walter Trout - Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd).mp3";Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd);Walter Trout;m
"Susan Tedeschi - Angel from Montgomery (Live).mp3";Angel from Montgomery (Live);Susan Tedeschi;f
"Kenny Wayne Shepherd Band - Baby Got Gone.mp3";Baby Got Gone;Kenny Wayne Shepherd Band;m
"Keb' Mo' - Life Is Beautiful.mp3";Life Is Beautiful;Keb' Mo';m
"Jonny Lang - Stronger Together.mp3";Stronger Together;Jonny Lang;m
