File Name;Song Title;Author;Gender
"Mary J. Blige, U2 - One - Radio Edit.mp3";One - Radio Edit;Mary J. Blige, U2;m
"Chris Young, Cassadee Pope - Think of You.mp3";Think of You;Chris Young, Cassadee Pope;m
"Jay Z, UGK - Big Pimpin'.mp3";Big Pimpin';Jay Z, UGK;m
"Whitney Houston - Heartbreak Hotel (& Faith Evans, Kelly Price).mp3";Heartbreak Hotel (& Faith Evans, Kelly Price) ;Whitney Houston;s
"Frank Sinatra - My Way.mp3";My Way;Frank Sinatra;s
"Whitney Houston - I'm Your Baby Tonight.mp3";I'm Your Baby Tonight ;Whitney Houston;s
"Labelle - Lady Marmalade.mp3";Lady Marmalade;Labelle;m
"Fifth Harmony - Sledgehammer.mp3";Sledgehammer;Fifth Harmony;m
"Taylor Swift - Mean.mp3";Mean;Taylor Swift;s
"The Chainsmokers - Kanye - Don Diablo Remix.mp3";Kanye - Don Diablo Remix;The Chainsmokers;m
"Eyes Set To Kill - The Secrets Between.mp3";The Secrets Between;Eyes Set To Kill;m
"James Ingram, Patti Austin, Quincy Jones - Baby, Come to Me.mp3";Baby, Come to Me;James Ingram, Patti Austin, Quincy Jones;m
"Us3 - Cantaloop (Flip Fantasia).mp3";Cantaloop (Flip Fantasia);Us3;m
"TLC - Waterfalls.mp3";Waterfalls;TLC;m
"Kevin Lyttle - Turn Me On.mp3";Turn Me On;Kevin Lyttle;s
"Louis Armstrong - A Kiss to Build a Dream On (Single Version).mp3";A Kiss to Build a Dream On (Single Version);Louis Armstrong;s
"Yellowcard - How I Go.mp3";How I Go;Yellowcard;m
"Porter Robinson, Madeon - Shelter (Slushii Remix).mp3";Shelter (Slushii Remix);Porter Robinson, Madeon;m
"The Submarines - Shoelaces.mp3";Shoelaces;The Submarines;m
"Ed Sheeran - Perfect.mp3";Perfect;Ed Sheeran;s
"The Chiffons - One Fine Day.mp3";One Fine Day;The Chiffons;m
"Dada Life - Kickout the Epic Motherfucker.mp3";Kickout the Epic Motherfucker;Dada Life;m
"A Tribe Called Quest, Leaders of the New School - Scenario.mp3";Scenario;A Tribe Called Quest, Leaders of the New School;m
"Ginuwine - Pony.mp3";Pony;Ginuwine;s
"Lizz Wright - Seems I’m Never Tired Lovin’ You.mp3";Seems I’m Never Tired Lovin’ You;Lizz Wright;s
"George Benson - This Masquerade.mp3";This Masquerade;George Benson;s
"Taylor Swift - I Knew You Were Trouble.mp3";I Knew You Were Trouble;Taylor Swift;s
"Brooks, Dunn, Reba McEntire - Cowgirls Don't Cry.mp3";Cowgirls Don’t Cry;Brooks, Dunn, Reba McEntire;m
"Expose - i'll say goodbye for the two of us.mp3";i'll say goodbye for the two of us;Exposé;m
"Tim McGraw, Faith Hill - Its Your Love.mp3";It’s Your Love;Tim McGraw, Faith Hill;m
"Expose - Exposed to Love.mp3";Exposed to Love;Expose;m
"Expose - Angel.mp3";Angel;Exposé;m
"AJR, Louisa Johnson - Weak - feat. Louisa Johnson - Stay Strong Mix.mp3";Weak - feat. Louisa Johnson - Stay Strong Mix;AJR, Louisa Johnson;m
"The Sugababes - Freak Like Me.mp3";Freak Like Me;The Sugababes;m
"Evanescence - Imperfection.mp3";Imperfection;Evanescence;m
"Expose - The Same Love.mp3";The Same Love;Exposé;m
"Red Velvet - Dumb Dumb.mp3";Dumb Dumb;Red Velvet;m
"K. Michelle - Either Way (feat. Chris Brown).mp3";Either Way (feat. Chris Brown);K. Michelle;s
"Imagine Dragons - Fallen.mp3";Fallen;Imagine Dragons;m
"James Arthur - Say You Won't Let Go.mp3";Say You Won't Let Go;James Arthur;s
"Major Lazer, DJ Snake - Lean On (feat. MØ).mp3";Lean On (feat. MØ);Major Lazer, DJ Snake;m
"The Chainsmokers - Good Intentions.mp3";Good Intentions;The Chainsmokers;m
"Mitch King - Coming Back.mp3";Coming Back;Mitch King;s
"The Paris Sisters - I Love How You Love Me.mp3";I Love How You Love Me;The Paris Sisters;m
"Imagine Dragons - On Top of the World.mp3";On Top of the World;Imagine Dragons;m
"The Chainsmokers - It Won't Kill Ya.mp3";It Won't Kill Ya;The Chainsmokers;m
"Afrika Bambaataa, the Soulsonic Force - Planet Rock.mp3";Planet Rock;Afrika Bambaataa, the Soulsonic Force;m
"The Cab - Take My Hand [ Remix] [feat. Cassadee Pope].mp3";Take My Hand [ Remix] [feat. Cassadee Pope];The Cab;m
"The Submarines - Peace And Hate.mp3";Peace And Hate;The Submarines;m
"Glenn Miller, His Orchestra - Moonlight Serenade.mp3";Moonlight Serenade;Glenn Miller, His Orchestra;m
"Scott Bradlee's Postmodern Jukebox - Creep (feat. Haley Reinhart).mp3";Creep (feat. Haley Reinhart);Scott Bradlee's Postmodern Jukebox;m
"Jonathan Fritzen - Let It Go.mp3";Let It Go;Jonathan Fritzen;s
"Jacquees - B.E.D..mp3";B.E.D.;Jacquees;s
"P!nk - What About Us.mp3";What About Us;P!nk;s
"BTS - Intro- Serendipity.mp3";Intro- Serendipity;BTS;m
"Survivor - Eye of the Tiger.mp3";Eye of the Tiger;Survivor;m
"Flux Pavilion - Bass Cannon.mp3";Bass Cannon;Flux Pavilion;s
"Johnny Cash, Lynn Anderson - I've Been Everywhere.mp3";I’ve Been Everywhere;Johnny Cash, Lynn Anderson;m
"The Shangri-Las - Give Him a Great Big Kiss.mp3";Give Him a Great Big Kiss;The Shangri-Las;m
"The Cookies - Don't Say Nothin' Bad - About My Baby.mp3";Don't Say Nothin' Bad - About My Baby;The Cookies;m
"CARLY RAE JEPSEN - CALL ME MAYBE.mp3";CALL ME MAYBE;CARLY RAE JEPSEN;s
"TLC - No Scrubs.mp3";No Scrubs;TLC;m
"Whitney Houston - How Will I Know.mp3";How Will I Know ;Whitney Houston;s
"Apollonia 6 - Sex Shooter.mp3";Sex Shooter;Apollonia 6;m
"The Chainsmokers - Honest.mp3";Honest;The Chainsmokers;m
"IRENE CARA - FAME.mp3";FAME;IRENE CARA;s
"Imagine Dragons - Tiptoe.mp3";Tiptoe;Imagine Dragons;m
"En Vogue - My Lovin' (You're Never Gonna Get It).mp3";My Lovin' (You're Never Gonna Get It);En Vogue;m
"Zedd, Matthew Koma, Miriam Bryant - Find You.mp3";Find You;Zedd, Matthew Koma, Miriam Bryant;m
"George Benson - Turn Your Love Around.mp3";Turn Your Love Around;George Benson;s
"Taylor Swift - Picture to Burn.mp3";Picture to Burn;Taylor Swift;s
"I Prevail - Alone.mp3";Alone;I Prevail;m
"Taylor Swift - The Way I Loved You.mp3";The Way I Loved You;Taylor Swift;s
"AC DC - You Shook Me All Night Long.mp3";You Shook Me All Night Long;AC DC;m
"Martha, Vandellas - Heat Wave.mp3";Heat Wave;Martha, Vandellas;m
"Girls' Generation - I Got a Boy.mp3";I Got a Boy;Girls' Generation;m
"Martha, Vandellas - Dancing in the Street.mp3";Dancing in the Street;Martha, Vandellas;m
"Las Vegas Big Band - It's Only You That I Love.mp3";It's Only You That I Love;Las Vegas Big Band;m
"Eminem - Lose Yourself.mp3";Lose Yourself;Eminem;s
"Kane Brown - What Ifs (feat. Lauren Alaina).mp3";What Ifs (feat. Lauren Alaina);Kane Brown;s
"Wonder Girls - Nobody.mp3";Nobody;Wonder Girls;m
"Expose - Wishing On A Star.mp3";Wishing On A Star;Exposé;m
"The Ronettes - Baby I Love You.mp3";Baby I Love You;The Ronettes;m
