"Etta James - At Last.mp3";At Last;Etta James;Blues
"Jonny Lang - Lie to Me.mp3";Lie to Me;Jonny Lang;Blues
"Canned Heat - Goin' Up the Country.mp3";Goin' Up the Country;Canned Heat;Blues
"Joe Bonamassa - Get Back My Tomorrow (Live).mp3";Get Back My Tomorrow (Live);Joe Bonamassa;Blues
"The Blues Brothers - Soul Man.mp3";Soul Man;The Blues Brothers;Blues
"Dorothy Moore - Misty Blue.mp3";Misty Blue;Dorothy Moore;Blues
"Jonny Lang - Make It Move.mp3";Make It Move;Jonny Lang;Blues
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;Blues
"Canned Heat - On the Road Again.mp3";On the Road Again;Canned Heat;Blues
"B.B. King - The Thrill Is Gone (1969 Single Version).mp3";The Thrill Is Gone (1969 Single Version);B.B. King;Blues
"Joe Bonamassa, Beth Hart - I'd Rather Go Blind.mp3";I'd Rather Go Blind;Joe Bonamassa, Beth Hart;Blues
"Van Morrison - Bring It On Home To Me.mp3";Bring It On Home To Me;Van Morrison;Blues
"Joe Bonamassa - Drive.mp3";Drive;Joe Bonamassa;Blues
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;Blues
"Walter Trout - We're All In This Together (feat. Joe Bonamassa).mp3";We're All In This Together (feat. Joe Bonamassa);Walter Trout;Blues
"Mindi Abair, the Boneshakers - Pretty Good for a Girl (feat. Joe Bonamassa).mp3";Pretty Good for a Girl (feat. Joe Bonamassa);Mindi Abair, the Boneshakers;Blues
"King Floyd - Groove Me.mp3";Groove Me;King Floyd;Blues
"John Lee Hooker - Boom Boom.mp3";Boom Boom;John Lee Hooker;Blues
"Aaron Neville - Tell It Like It Is.mp3";Tell It Like It Is;Aaron Neville;Blues
"Etta James - Stormy Weather.mp3";Stormy Weather;Etta James;Blues
"Etta James - At Last (Single Version).mp3";At Last (Single Version);Etta James;Blues
"Canned Heat - Let's Work Together.mp3";Let's Work Together;Canned Heat;Blues
"Joe Bonamassa, Beth Hart - I'll Take Care of You.mp3";I'll Take Care of You;Joe Bonamassa, Beth Hart;Blues
"Mitch King - Coming Back.mp3";Coming Back;Mitch King;Blues
"R.L. Burnside - Someday Baby.mp3";Someday Baby;R.L. Burnside;Blues
"Walter Trout - Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd).mp3";Gonna Hurt Like Hell (feat. Kenny Wayne Shepherd);Walter Trout;Blues
"Susan Tedeschi - Angel from Montgomery (Live).mp3";Angel from Montgomery (Live);Susan Tedeschi;Blues
"Kenny Wayne Shepherd Band - Baby Got Gone.mp3";Baby Got Gone;Kenny Wayne Shepherd Band;Blues
"Keb' Mo' - Life Is Beautiful.mp3";Life Is Beautiful;Keb' Mo';Blues
"Jonny Lang - Stronger Together.mp3";Stronger Together;Jonny Lang;Blues
