File Name;Song Title;Author;Year
"Louis Armstrong - A Kiss to Build a Dream On (Single Version).mp3";A Kiss to Build a Dream On (Single Version);Louis Armstrong;1951
"TLC - Creep.mp3";Creep;TLC;1995
"All-4-One - I Swear.mp3";I Swear;All-4-One;1994
"Emotions - Best Of My Love.mp3";Best Of My Love;Emotions;1977
"Bryan Adams - (Everything I Do) I Do It For You.mp3";(Everything I Do) I Do It For You;Bryan Adams;1991
"Thomas Rhett - Craving You (feat. Maren Morris).mp3";Craving You (feat. Maren Morris);Thomas Rhett;2017
"Nancy Sinatra , Frank Sinatra - Somethin' Stupid.mp3";Somethin' Stupid;Nancy Sinatra , Frank Sinatra;1967
"Bing Crosby, Carmen Cavallaro - I Can't Begin to Tell You.mp3";I Can't Begin to Tell You;Bing Crosby, Carmen Cavallaro;1945
"Etta James - A Sunday Kind of Love.mp3";A Sunday Kind of Love;Etta James;1960
"The Glenn Miller Orchestra - Careless.mp3";Careless;The Glenn Miller Orchestra;1940
"Village Stompers - Washington Square.mp3";Washington Square;Village Stompers;1963
"Barbra Streisand - Love Theme From A Star Is Born.mp3";"Love Theme From ""A Star Is Born""";Barbra Streisand;1977
"Etta James - All I Could Do Was Cry.mp3";All I Could Do Was Cry;Etta James;1960
"Miracles - Love Machine (Part 1).mp3";Love Machine (Part 1);Miracles;1976
"Chicago - Hard To Say I'm Sorry.mp3";Hard To Say I'm Sorry;Chicago;1982
"Khalid - Coaster.mp3";Coaster;Khalid;2016
"Katy Perry - I Kissed A Girl.mp3";I Kissed A Girl;Katy Perry;2008
"Dick Haymes - Little White Lies.mp3";Little White Lies;Dick Haymes;1948
"Joe - I Wanna Know.mp3";I Wanna Know;Joe;2000
"Gregory Abbott - Shake You Down.mp3";Shake You Down;Gregory Abbott;1987
"Black Eyed Peas - Boom Boom Pow.mp3";Boom Boom Pow;Black Eyed Peas;2009
"Snow - Informer.mp3";Informer;Snow;1993
"Keri Hilson feat. Kanye West, Ne-Yo - Knock You Down.mp3";Knock You Down;Keri Hilson feat. Kanye West, Ne-Yo;2009
"Freezy - Split in Di Middle.mp3";Split in Di Middle;Freezy;2017
